"variable","description"
"id","Patient identifier (each appears twice: recurrence + death rows)"
"rx","Randomised treatment arm: Obs, Lev, Lev+5FU"
"age","Age in years at randomisation"
"sex","Female / Male"
"obstruct","Colon obstruction by tumour (No/Yes)"
"perfor","Colon perforation (No/Yes)"
"adhere","Adherence to nearby organs (No/Yes)"
"nodes","Number of lymph nodes with detectable cancer"
"node4","More than 4 positive nodes (1-3 nodes / >4 nodes)"
"differ","Tumour differentiation: Well / Moderate / Poor"
"extent","Extent of local spread: Submucosa..Contiguous"
"surg","Time from surgery to registration (short/long)"
"endpoint","Which event this row measures: Recurrence or Death"
"etype","Event type code: 1 = recurrence, 2 = death"
"time","Days to event or censoring"
"time_yrs","Years to event or censoring"
"status","Event indicator: 1 = event occurred, 0 = censored"
